timestamp,open,high,low,close,volume,symbol,name
2020-05-22,28.62,32.275,28.61,31.34,30900313,DAI.DE,Daimler AG
2020-05-15,31.77,32.09,26.295,28.005,29137492,DAI.DE,Daimler AG
2020-05-08,30.1,31.655,28.905,31.655,28415750,DAI.DE,Daimler AG
2020-04-30,28.5,33.44,28.33,31.535,27952613,DAI.DE,Daimler AG
2020-04-24,29.545,29.585,27.225,27.56,27008466,DAI.DE,Daimler AG
2020-04-17,30.845,30.925,27.3,29.04,25937940,DAI.DE,Daimler AG
2020-04-09,25.95,29.86,25.745,29.84,29582369,DAI.DE,Daimler AG
2020-04-03,27.325,28.775,24.3,24.52,34219680,DAI.DE,Daimler AG
2020-03-27,21.715,31.9,21.47,27.2,60780296,DAI.DE,Daimler AG
2020-03-20,24.0,24.9,21.015,22.675,66821604,DAI.DE,Daimler AG
2020-03-13,32.2,32.855,24.985,25.65,77026850,DAI.DE,Daimler AG
2020-03-06,38.0,38.215,34.08,34.86,39213298,DAI.DE,Daimler AG
2020-02-28,41.325,41.435,36.72,37.54,45143899,DAI.DE,Daimler AG
2020-02-21,43.7,44.31,42.085,42.595,22563824,DAI.DE,Daimler AG
2020-02-14,42.99,44.765,42.405,43.065,23836518,DAI.DE,Daimler AG
2020-02-07,41.875,44.88,41.415,42.885,21778701,DAI.DE,Daimler AG
2020-01-31,43.33,43.73,41.67,41.805,22656862,DAI.DE,Daimler AG
2020-01-24,46.505,47.61,43.75,43.94,22292044,DAI.DE,Daimler AG
2020-01-17,49.6,49.6,46.56,46.69,18480367,DAI.DE,Daimler AG
2020-01-10,48.335,50.15,47.735,49.43,12597929,DAI.DE,Daimler AG
2020-01-03,49.405,50.31,48.455,49.07,5812183,DAI.DE,Daimler AG
2019-12-30,49.6,49.75,49.26,49.37,1295834,DAI.DE,Daimler AG
2019-12-27,49.795,50.18,49.67,49.84,1967115,DAI.DE,Daimler AG
2019-12-23,49.7,49.825,49.23,49.785,2496274,DAI.DE,Daimler AG
2019-12-20,51.0,51.16,49.275,49.97,21372127,DAI.DE,Daimler AG
2019-12-13,49.63,51.69,48.02,50.63,17193135,DAI.DE,Daimler AG
2019-12-06,51.11,51.39,48.715,49.455,17703284,DAI.DE,Daimler AG
2019-11-29,52.55,53.23,51.17,51.2,15840003,DAI.DE,Daimler AG
2019-11-22,50.57,52.21,49.585,52.03,26386769,DAI.DE,Daimler AG
2019-11-15,53.21,54.19,50.61,50.68,29342268,DAI.DE,Daimler AG
2019-11-08,53.5,54.5,52.29,53.45,27481978,DAI.DE,Daimler AG
2019-11-01,52.9,54.33,52.05,52.7,24797694,DAI.DE,Daimler AG
2019-10-25,48.585,53.65,48.585,52.88,29730785,DAI.DE,Daimler AG
2019-10-18,46.64,49.715,46.185,48.425,24490346,DAI.DE,Daimler AG
2019-10-11,43.8,47.15,42.895,47.06,20474449,DAI.DE,Daimler AG
2019-10-04,45.235,46.195,43.255,43.81,13736249,DAI.DE,Daimler AG
2019-09-27,47.05,47.1,44.725,45.38,16729122,DAI.DE,Daimler AG
2019-09-20,48.1,48.545,46.79,47.345,22560838,DAI.DE,Daimler AG
2019-09-13,45.58,48.715,45.55,48.54,20049906,DAI.DE,Daimler AG
2019-09-06,42.835,45.745,42.23,45.405,18233038,DAI.DE,Daimler AG
2019-08-30,40.65,43.14,40.55,42.705,15546847,DAI.DE,Daimler AG
2019-08-23,41.765,42.715,40.665,40.72,17838679,DAI.DE,Daimler AG
2019-08-16,42.8,43.76,40.31,41.245,25379716,DAI.DE,Daimler AG
2019-08-09,44.475,44.85,42.5,42.58,23295476,DAI.DE,Daimler AG
2019-08-02,48.02,48.54,44.91,45.225,20323972,DAI.DE,Daimler AG
2019-07-26,45.4,49.98,45.335,48.375,25451736,DAI.DE,Daimler AG
