,open,high,low,close,volume,symbol,name,EstAvg
2020-05-22,203.3,221.4,203.3,217.8,4611710.0,ADS.DE,Adidas,211.45
2020-05-15,209.9,210.5,189.4,200.3,3898514.0,ADS.DE,Adidas,202.52499999999998
2020-05-08,203.0,212.8,193.05,207.9,5035990.0,ADS.DE,Adidas,204.1875
2020-04-30,198.25,217.8,197.2,209.2,4834590.0,ADS.DE,Adidas,205.6125
2020-04-24,220.4,222.8,202.2,205.4,4324186.0,ADS.DE,Adidas,212.70000000000002
2020-04-17,227.8,229.0,209.6,218.7,3890356.0,ADS.DE,Adidas,221.27499999999998
2020-04-09,195.5,226.0,193.35,224.3,4344547.0,ADS.DE,Adidas,209.78750000000002
2020-04-03,209.15,216.1,188.0,188.55,5254036.0,ADS.DE,Adidas,200.45
2020-03-27,182.76,214.9,178.62,208.95,8399736.0,ADS.DE,Adidas,196.3075
2020-03-20,164.22,195.58,162.2,191.5,12544220.0,ADS.DE,Adidas,178.375
2020-03-13,213.0,234.9,165.86,171.94,15774527.0,ADS.DE,Adidas,196.425
2020-03-06,253.05,258.05,237.7,241.05,5596538.0,ADS.DE,Adidas,247.46249999999998
2020-02-28,273.9,274.25,243.5,250.55,7517993.0,ADS.DE,Adidas,260.55
2020-02-21,289.2,294.65,276.0,282.45,3395698.0,ADS.DE,Adidas,285.575
2020-02-14,287.15,291.35,283.7,288.4,2903553.0,ADS.DE,Adidas,287.65
2020-02-07,285.75,294.75,281.8,289.1,3651609.0,ADS.DE,Adidas,287.85
2020-01-31,307.0,308.0,285.8,285.8,3560880.0,ADS.DE,Adidas,296.65
2020-01-24,311.6,316.15,306.2,313.0,2103379.0,ADS.DE,Adidas,311.7375
2020-01-17,310.35,317.45,308.2,311.65,2677523.0,ADS.DE,Adidas,311.9125
2020-01-10,288.95,311.85,285.15,309.05,2901037.0,ADS.DE,Adidas,298.75
2020-01-03,289.2,293.25,288.35,291.95,869381.0,ADS.DE,Adidas,290.6875
2019-12-30,291.3,292.55,289.55,289.8,215885.0,ADS.DE,Adidas,290.8
2019-12-27,293.3,294.2,290.55,292.5,326470.0,ADS.DE,Adidas,292.6375
2019-12-23,292.3,294.95,291.0,291.1,349958.0,ADS.DE,Adidas,292.3375
2019-12-20,279.95,291.95,279.1,291.45,3821568.0,ADS.DE,Adidas,285.6125
2019-12-13,278.15,283.0,268.75,278.6,2863337.0,ADS.DE,Adidas,277.125
2019-12-06,284.0,288.3,273.9,279.2,3050141.0,ADS.DE,Adidas,281.34999999999997
2019-11-29,274.85,286.75,273.55,282.75,2418415.0,ADS.DE,Adidas,279.475
2019-11-22,271.55,276.35,267.9,273.0,2379382.0,ADS.DE,Adidas,272.20000000000005
2019-11-15,271.65,272.15,264.15,267.45,2799596.0,ADS.DE,Adidas,268.84999999999997
2019-11-08,280.9,287.35,266.3,272.0,4931704.0,ADS.DE,Adidas,276.6375
2019-11-01,274.6,280.95,271.25,280.0,2304594.0,ADS.DE,Adidas,276.7
2019-10-25,281.75,282.8,270.3,275.15,2467369.0,ADS.DE,Adidas,277.5
2019-10-18,278.45,288.3,277.85,281.35,2629981.0,ADS.DE,Adidas,281.4875
2019-10-11,270.25,281.45,269.6,280.2,2689092.0,ADS.DE,Adidas,275.375
2019-10-04,284.8,289.05,265.65,271.6,2478833.0,ADS.DE,Adidas,277.775
2019-09-27,273.8,285.7,269.05,285.1,2718002.0,ADS.DE,Adidas,278.4125
2019-09-20,272.0,277.0,266.85,274.75,2990878.0,ADS.DE,Adidas,272.65
2019-09-13,279.5,280.25,266.35,272.55,2741053.0,ADS.DE,Adidas,274.6625
2019-09-06,268.4,280.0,266.75,278.9,2037921.0,ADS.DE,Adidas,273.5125
2019-08-30,258.05,271.75,258.0,269.7,2512994.0,ADS.DE,Adidas,264.375
2019-08-23,261.15,266.1,257.9,259.8,2382660.0,ADS.DE,Adidas,261.2375
2019-08-16,261.0,264.15,253.2,257.7,3341147.0,ADS.DE,Adidas,259.0125
2019-08-09,275.0,277.6,254.0,259.65,5322336.0,ADS.DE,Adidas,266.5625
2019-08-02,288.9,296.75,278.8,279.4,3929014.0,ADS.DE,Adidas,285.9625
2019-07-26,279.0,289.8,278.55,289.8,2614776.0,ADS.DE,Adidas,284.28749999999997
2019-07-19,277.35,283.15,275.8,278.95,2222529.0,ADS.DE,Adidas,278.8125
2019-07-12,276.05,283.15,275.45,276.5,2100765.0,ADS.DE,Adidas,277.7875
2019-07-05,274.0,280.8,270.95,277.15,2361240.0,ADS.DE,Adidas,275.725
2019-06-28,269.5,275.6,262.2,271.5,3471318.0,ADS.DE,Adidas,269.7
2019-06-21,259.6,274.85,259.05,268.8,3602886.0,ADS.DE,Adidas,265.575
2019-06-14,267.35,268.35,254.3,260.6,2496796.0,ADS.DE,Adidas,262.65
2019-06-07,254.75,266.35,254.3,265.25,2666397.0,ADS.DE,Adidas,260.1625
2019-05-31,261.0,265.05,251.4,256.2,2485892.0,ADS.DE,Adidas,258.41249999999997
2019-05-24,255.0,264.65,250.55,259.25,3492783.0,ADS.DE,Adidas,257.3625
2019-05-17,252.0,255.95,244.3,255.5,3573379.0,ADS.DE,Adidas,251.9375
2019-05-10,243.0,256.55,242.8,252.0,5278249.0,ADS.DE,Adidas,248.5875
2019-05-03,229.2,249.8,225.15,249.8,3930979.0,ADS.DE,Adidas,238.4875
2019-04-26,231.6,232.5,227.25,229.2,2256592.0,ADS.DE,Adidas,230.1375
2019-04-18,225.05,232.2,224.25,232.15,2349587.0,ADS.DE,Adidas,228.4125
2019-04-12,227.6,227.95,223.8,225.4,2612071.0,ADS.DE,Adidas,226.18749999999997
2019-04-05,218.25,228.4,216.6,227.55,3553806.0,ADS.DE,Adidas,222.7
2019-03-29,208.5,217.8,207.9,216.6,2816675.0,ADS.DE,Adidas,212.70000000000002
2019-03-22,211.2,214.5,206.2,209.9,3550030.0,ADS.DE,Adidas,210.45
2019-03-15,211.6,215.6,197.25,212.4,7090541.0,ADS.DE,Adidas,209.2125
2019-03-08,217.4,219.8,209.3,210.6,3550502.0,ADS.DE,Adidas,214.275
2019-03-01,205.0,218.4,204.8,215.9,4399785.0,ADS.DE,Adidas,211.025
2019-02-22,199.05,204.5,197.05,204.1,2097572.0,ADS.DE,Adidas,201.175
2019-02-15,197.75,202.7,194.85,199.15,3225419.0,ADS.DE,Adidas,198.61249999999998
2019-02-08,199.2,203.6,194.8,198.35,3425754.0,ADS.DE,Adidas,198.98749999999998
2019-02-01,202.9,207.7,197.55,198.85,3433013.0,ADS.DE,Adidas,201.75000000000003
2019-01-25,204.0,208.4,200.2,204.0,3493840.0,ADS.DE,Adidas,204.14999999999998
2019-01-18,195.0,205.5,194.4,204.0,3231113.0,ADS.DE,Adidas,199.725
2019-01-11,189.15,198.15,189.0,197.0,2967222.0,ADS.DE,Adidas,193.325
2019-01-04,183.05,191.3,181.35,191.05,2511336.0,ADS.DE,Adidas,186.6875
2018-12-28,185.15,185.25,178.15,182.4,1251267.0,ADS.DE,Adidas,182.73749999999998
2018-12-21,192.75,194.0,179.15,184.75,6497612.0,ADS.DE,Adidas,187.6625
2018-12-14,194.05,201.1,192.3,195.5,3638045.0,ADS.DE,Adidas,195.7375
2018-12-07,198.0,200.8,192.5,195.45,3858113.0,ADS.DE,Adidas,196.6875
2018-11-30,204.1,204.9,193.2,194.8,3770379.0,ADS.DE,Adidas,199.25
2018-11-23,205.4,205.7,195.6,202.7,3240863.0,ADS.DE,Adidas,202.35000000000002
2018-11-16,205.1,209.1,201.2,204.7,3366772.0,ADS.DE,Adidas,205.02499999999998
2018-11-09,206.9,208.2,195.15,203.9,4504048.0,ADS.DE,Adidas,203.5375
2018-11-02,204.8,209.6,201.3,206.5,4159141.0,ADS.DE,Adidas,205.55
2018-10-26,205.1,207.6,196.55,203.4,4433837.0,ADS.DE,Adidas,203.1625
2018-10-19,192.5,205.2,192.05,202.8,3847504.0,ADS.DE,Adidas,198.1375
2018-10-12,206.3,207.3,189.5,192.6,4457964.0,ADS.DE,Adidas,198.925
2018-10-05,210.7,215.2,205.6,207.8,2391371.0,ADS.DE,Adidas,209.825
2018-09-28,209.9,211.8,207.2,210.9,2796742.0,ADS.DE,Adidas,209.95000000000002
2018-09-21,209.4,211.6,206.8,210.9,3476276.0,ADS.DE,Adidas,209.67499999999998
2018-09-14,207.6,211.5,203.8,210.3,2616917.0,ADS.DE,Adidas,208.3
2018-09-07,214.1,217.2,204.9,207.2,3015967.0,ADS.DE,Adidas,210.84999999999997
2018-08-31,215.3,218.0,212.4,214.9,2482411.0,ADS.DE,Adidas,215.15
2018-08-24,207.8,215.4,207.1,213.7,2686826.0,ADS.DE,Adidas,211.0
2018-08-17,206.3,211.6,205.1,207.0,3173666.0,ADS.DE,Adidas,207.5
2018-08-10,189.8,210.9,187.45,205.7,5945558.0,ADS.DE,Adidas,198.46250000000003
2018-08-03,188.8,190.4,183.95,189.6,3027975.0,ADS.DE,Adidas,188.18750000000003
2018-07-27,189.0,191.85,183.4,189.2,2969930.0,ADS.DE,Adidas,188.3625
2018-07-20,187.95,191.3,183.9,189.9,3176957.0,ADS.DE,Adidas,188.2625
